    A   B   C   D   E   F   G   H   I   J   K   L   M   N   O   P   Q   R   S   T   U   V   W   Z
A   0  71   0   0   0   0   0   0   0 151   0   0   0   0   0   0   0   0   0   0   0   0   0   0
B  71   0  75   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
C   0  75   0 118   0   0   0   0   0 140   0   0   0   0   0   0   0   0   0   0   0   0   0   0
D   0   0 118   0 111   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
E   0   0   0 111   0  70   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
F   0   0   0   0  70   0  75   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
G   0   0   0   0   0  75   0 120   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
H   0   0   0   0   0   0 120   0 146   0   0 138   0   0   0   0   0   0   0 115   0   0   0   0
I   0   0   0   0   0   0   0 146   0  80   0  97   0   0   0   0   0   0   0   0   0   0   0   0
J 151   0 140   0   0   0   0   0  80   0  99   0   0   0   0   0   0   0 110   0   0   0  75   0
K   0   0   0   0   0   0   0   0   0  99   0   0   0   0   0   0   0   0   0   0   0   0   0 211
L   0   0   0   0   0   0   0 138  97   0   0   0   0   0   0   0   0   0   0   0   0   0   0 101
M   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  90
N   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  98 142   0   0   0   0   0   0  85
O   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  86   0   0   0   0   0   0   0   0
P   0   0   0   0   0   0   0   0   0   0   0   0   0  98  86   0   0   0   0   0   0   0   0   0
Q   0   0   0   0   0   0   0   0   0   0   0   0   0 142   0   0   0  92   0   0   0   0   0   0
R   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  92   0  87   0   0   0   0   0
S   0   0   0   0   0   0   0   0   0 110   0   0   0   0   0   0   0  87   0   0   0   0   0   0
T   0   0   0   0   0   0   0 115   0   0   0   0   0   0   0   0   0   0   0   0  40  50   0   0
U   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  40   0   0   0   0
V   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  50   0   0   0   0
W   0   0   0   0   0   0   0   0   0  75   0   0   0   0   0   0   0   0   0   0   0   0   0   0
Z   0   0   0   0   0   0   0   0   0   0 211 101  90  85   0   0   0   0   0   0   0   0   0   0
